Age,Gender,wassce grade,level,current CGPA,number of siblings ,access to a laptop or internet,study group,time spent on independent studies,grades
102,18 - 22 years,Female,6 - 9,L 300,4.0 - 3.6,More than 3,No,Yes,More than 2 hours,First class
103,18 - 22 years,Female,10 - 15,L 400,3.5 - 3.0,More than 3,Yes,No,More than 2 hours,Second class upper
104,18 - 22 years,Female,6 - 9,L 300,3.5 - 3.0,More than 3,Yes,Yes,Less than 2 hours,Second class upper
105,23 - 27 years,Male,10 - 15,L 400,3.5 - 3.0,More than 3,Yes,No,Less than 2 hours,Second class upper
106,18 - 22 years,Male,16 - 20,L 300,3.5 - 3.0,More than 3,Yes,No,More than 2 hours,Second class upper
107,18 - 22 years,Female,10 - 15,L 300,2.9 - 2.5,Exactly 3,Yes,No,Exactly 2 hours,Second class lower
108,18 - 22 years,Male,16 - 20,L 300,2.4 - 2.0,Less than 3,Yes,Yes,Exactly 2 hours,Third class
109,18 - 22 years,Male,10 - 15,L 300,2.4 - 2.0,More than 3,No,Yes,Exactly 2 hours,Third class
110,18 - 22 years,Male,10 - 15,L 400,2.9 - 2.5,More than 3,Yes,No,Less than 2 hours,Second class lower
111,18 - 22 years,Male,10 - 15,L 300,3.5 - 3.0,Less than 3,Yes,Yes,More than 2 hours,Second class upper
112,23 - 27 years,Male,16 - 20,L 300,2.9 - 2.5,More than 3,Maybe,No,More than 2 hours,Second class lower
113,23 - 27 years,Female,10 - 15,L 300,3.5 - 3.0,More than 3,Yes,No,Less than 2 hours,Second class upper
114,23 - 27 years,Male,10 - 15,L 300,3.5 - 3.0,Less than 3,Yes,No,More than 2 hours,Second class upper
115,18 - 22 years,Male,16 - 20,L 300,2.9 - 2.5,Exactly 3,Yes,Yes,More than 2 hours,Second class lower
116,23 - 27 years,Male,10 - 15,L 300,1.9 - 1.5,More than 3,No,Yes,More than 2 hours,Pass
117,18 - 22 years,Male,10 - 15,L 300,2.9 - 2.5,Less than 3,Yes,No,Less than 2 hours,Second class lower
118,18 - 22 years,Male,10 - 15,L 300,2.9 - 2.5,Less than 3,Yes,No,More than 2 hours,Second class lower
119,18 - 22 years,Male,16 - 20,L 300,2.9 - 2.5,Less than 3,Yes,No,Less than 2 hours,Second class lower
120,18 - 22 years,Female,6 - 9,L 300,2.9 - 2.5,More than 3,Yes,Yes,More than 2 hours,Second class lower
