"Timestamp","What is your age?","Gender ?","What was your WASSCE grade ?","What level are you ?","What is your current CGPA ?","How many siblings do you have ?","Do you have access to a laptop or internet ?","Do you join a study group ?","How many hours do you do independent studies ?"
"2022/10/18 2:09:16 pm GMT","18 - 22 years","Female","10 - 15","L 400","3.5 - 3.0","More than 3","Yes","No","More than 2 hours"
"2022/10/18 2:35:02 pm GMT","18 - 22 years","Female","6 - 9","L 300","3.5 - 3.0","More than 3","Yes","Yes","Less than 2 hours"
"2022/10/18 3:09:19 pm GMT","23 - 27 years","Male","10 - 15","L 400","3.5 - 3.0","More than 3","Yes","No","Less than 2 hours"
"2022/10/18 4:50:53 pm GMT","18 - 22 years","Male","16 - 20","L 300","3.5 - 3.0","More than 3","Yes","No","More than 2 hours"
"2022/10/18 4:51:56 pm GMT","18 - 22 years","Female","10 - 15","L 300","2.9 - 2.5","Exactly 3","Yes","No","Exactly 2 hours"
"2022/10/18 4:53:57 pm GMT","18 - 22 years","Male","16 - 20","L 300","2.4 - 2.0","Less than 3","Yes","Yes","Exactly 2 hours"
"2022/10/18 4:59:29 pm GMT","18 - 22 years","Male","10 - 15","L 300","2.4 - 2.0","More than 3","No","Yes","Exactly 2 hours"
"2022/10/18 5:00:03 pm GMT","18 - 22 years","Male","10 - 15","L 400","2.9 - 2.5","More than 3","Yes","No","Less than 2 hours"
"2022/10/18 5:01:13 pm GMT","18 - 22 years","Male","10 - 15","L 300","3.5 - 3.0","Less than 3","Yes","Yes","More than 2 hours"
"2022/10/18 5:01:25 pm GMT","23 - 27 years","Male","16 - 20","L 300","2.9 - 2.5","More than 3","Maybe","No","More than 2 hours"
"2022/10/18 5:20:19 pm GMT","23 - 27 years","Female","10 - 15","L 300","3.5 - 3.0","More than 3","Yes","No","Less than 2 hours"
"2022/10/18 5:51:58 pm GMT","23 - 27 years","Male","10 - 15","L 300","3.5 - 3.0","Less than 3","Yes","No","More than 2 hours"
"2022/10/18 5:54:33 pm GMT","18 - 22 years","Male","16 - 20","L 300","2.9 - 2.5","Exactly 3","Yes","Yes","More than 2 hours"
"2022/10/18 6:05:42 pm GMT","23 - 27 years","Male","10 - 15","L 300","1.9 - 1.5","More than 3","No","Yes","More than 2 hours"
"2022/10/18 6:09:08 pm GMT","18 - 22 years","Male","10 - 15","L 300","2.9 - 2.5","Less than 3","Yes","No","Less than 2 hours"
"2022/10/18 6:27:01 pm GMT","18 - 22 years","Male","10 - 15","L 300","2.9 - 2.5","Less than 3","Yes","No","More than 2 hours"
"2022/10/18 6:54:42 pm GMT","18 - 22 years","Male","16 - 20","L 300","2.9 - 2.5","Less than 3","Yes","No","Less than 2 hours"
"2022/10/18 6:57:21 pm GMT","18 - 22 years","Female","6 - 9","L 300","2.9 - 2.5","More than 3","Yes","Yes","More than 2 hours"
"2022/10/18 7:06:01 pm GMT","18 - 22 years","Male","10 - 15","L 300","2.4 - 2.0","Less than 3","Yes","Yes","Less than 2 hours"
"2022/10/18 7:23:42 pm GMT","18 - 22 years","Male","10 - 15","L 300","2.9 - 2.5","Less than 3","Yes","No","Less than 2 hours"
"2022/10/18 9:01:17 pm GMT","23 - 27 years","Male","10 - 15","L 400","3.5 - 3.0","More than 3","Yes","No","Exactly 2 hours"
"2022/10/18 9:22:12 pm GMT","23 - 27 years","Female","6 - 9","L 400","4.0 - 3.6","Less than 3","Yes","Yes","More than 2 hours"
