Age,Gender,wassce grade,level,current CGPA,access to a laptop or internet,study group,time spent on independent studies
176,23 - 27 years,Male,16 - 20,L 300,2.9 - 2.5,Yes,No,More than 2 hours
177,23 - 27 years,Male,16 - 20,L 300,2.9 - 2.5,Yes,Yes,More than 2 hours
178,18 - 22 years,Male,16 - 20,L 300,2.4 - 2.0,Yes,Yes,More than 2 hours
179,18 - 22 years,Male,16 - 20,L 300,2.9 - 2.5,Yes,Yes,More than 2 hours
180,23 - 27 years,Male,10 - 15,L 300,2.9 - 2.5,Yes,No,More than 2 hours
181,18 - 22 years,Male,6 - 9,L 300,2.9 - 2.5,Yes,Yes,More than 2 hours
182,23 - 27 years,Male,16 - 20,L 300,3.5 - 3.0,Yes,No,Exactly 2 hours
183,23 - 27 years,Male,16 - 20,L 300,3.5 - 3.0,Yes,No,Less than 2 hours
184,23 - 27 years,Male,10 - 15,L 300,2.4 - 2.0,Yes,Yes,Exactly 2 hours
185,18 - 22 years,Male,16 - 20,L 300,2.9 - 2.5,Yes,Yes,More than 2 hours
186,23 - 27 years,Male,10 - 15,L 300,2.4 - 2.0,Yes,Yes,Less than 2 hours
187,18 - 22 years,Male,16 - 20,L 300,2.9 - 2.5,Yes,No,Exactly 2 hours
188,18 - 22 years,Female,16 - 20,L 300,2.9 - 2.5,Yes,No,More than 2 hours
189,23 - 27 years,Male,10 - 15,L 300,4.0 - 3.6,Yes,No,More than 2 hours
190,23 - 27 years,Male,21 - 25,L 300,2.9 - 2.5,Yes,No,More than 2 hours
191,23 - 27 years,Male,10 - 15,L 300,3.5 - 3.0,No,No,More than 2 hours
192,23 - 27 years,Male,10 - 15,L 300,2.4 - 2.0,Yes,Yes,Less than 2 hours
193,23 - 27 years,Male,10 - 15,L 300,3.5 - 3.0,Yes,Yes,More than 2 hours
194,23 - 27 years,Male,16 - 20,L 300,2.4 - 2.0,Yes,Yes,More than 2 hours
195,23 - 27 years,Male,16 - 20,L 300,2.9 - 2.5,Yes,No,Less than 2 hours
196,23 - 27 years,Male,10 - 15,L 300,2.4 - 2.0,Yes,Yes,Less than 2 hours
197,23 - 27 years,Female,10 - 15,L 400,3.5 - 3.0,Yes,Yes,More than 2 hours
198,18 - 22 years,Male,21 - 25,L 300,2.4 - 2.0,Yes,Yes,Less than 2 hours
199,18 - 22 years,Male,16 - 20,L 400,2.9 - 2.5,Yes,Yes,More than 2 hours
200,23 - 27 years,Female,16 - 20,L 400,3.5 - 3.0,Yes,Yes,Exactly 2 hours
201,23 - 27 years,Female,21 - 25,L 300,2.9 - 2.5,No,Yes,More than 2 hours
202,23 - 27 years,Female,16 - 20,L 300,2.4 - 2.0,No,No,Less than 2 hours
203,18 - 22 years,Male,10 - 15,L 400,4.0 - 3.6,Yes,Yes,Less than 2 hours
204,14 - 17 years,Female,6 - 9,L 400,3.5 - 3.0,Yes,Yes,More than 2 hours
